,date,score
0,2020-06-05,1.95
1,2020-06-06,1.5
2,2020-06-07,1.6153846153846154
3,2020-06-08,1.8
4,2020-06-09,1.9
5,2020-06-10,1.85
6,2020-06-11,1.45
7,2020-06-12,1.7
8,2020-06-13,1.8333333333333333
9,2020-06-14,2.0
10,2020-06-15,1.85
11,2020-06-16,1.65
12,2020-06-17,1.7
13,2020-06-18,1.9411764705882355
14,2020-06-19,1.9166666666666667
15,2020-06-20,1.875
16,2020-06-21,1.5454545454545454
17,2020-06-22,1.85
18,2020-06-23,1.7392045454545453
19,2020-06-24,1.75
20,2020-06-25,2.05
21,2020-06-26,1.85
22,2020-06-27,1.6
23,2020-06-28,2.142857142857143
24,2020-06-29,1.875
25,2020-06-30,1.75
26,2020-07-01,1.9
27,2020-07-02,2.2
28,2020-07-03,1.7840909090909092
29,2020-07-04,1.7840909090909092
