,date,score
0,2020-05-27,0.0
1,2020-05-28,0.0
2,2020-05-29,0.0
3,2020-05-30,0.0
4,2020-05-31,0.0
5,2020-06-01,0.0
6,2020-06-02,0.0
7,2020-06-03,0.0
8,2020-06-04,25.0
9,2020-06-05,0.0
10,2020-06-06,0.0
11,2020-06-07,0.0
12,2020-06-08,0.0
13,2020-06-09,0.0
14,2020-06-10,0.0
15,2020-06-11,0.0
16,2020-06-12,0.0
17,2020-06-13,0.0
18,2020-06-14,0.0
19,2020-06-15,0.0
20,2020-06-16,0.0
21,2020-06-17,0.0
22,2020-06-18,25.0
23,2020-06-19,0.0
24,2020-06-20,0.0
25,2020-06-21,0.0
26,2020-06-22,0.0
27,2020-06-23,0.0
28,2020-06-24,0.0
29,2020-06-25,0.0
30,2020-06-26,0.0
31,2020-06-27,0.0
32,2020-06-28,0.0
33,2020-06-29,0.0
34,2020-06-30,0.0
35,2020-07-01,0.0
36,2020-07-02,0.0
37,2020-07-03,0.0
38,2020-07-04,0.0
39,2020-07-05,0.0
40,2020-07-06,0.0
41,2020-07-07,0.0
42,2020-07-08,0.0
43,2020-07-09,0.0
44,2020-07-10,0.0
45,2020-07-11,0.0
